company_name,rating,bio,salary,job,founded_in,field,other,city
Cyient,3.6,IT Services & Consulting |  +48 other locations,27300.0,78.0,1991 (35 yrs old),IT Services & Consulting,+48 other locations,bangalore
CGI Group,4.0,IT Services & Consulting |  +43 other locations,45200.0,655.0,1976 (50 yrs old),IT Services & Consulting,+43 other locations,bangalore
SBI Cards & Payment Services,3.6,Financial Services |  +436 other locations,23900.0,76.0,,Financial Services,+436 other locations,bangalore
Kalpataru Projects International,4.1,Engineering & Construction |  +321 other locations,13600.0,1.0,1981 (45 yrs old),Engineering & Construction,+321 other locations,bangalore
JustDial,3.5,Internet |  +229 other locations,15400.0,53.0,1996 (30 yrs old),Internet,+229 other locations,bangalore
BNY,3.7,Financial Services |  +25 other locations,30600.0,1.0,1784 (242 yrs old),Financial Services,+25 other locations,bangalore
IQVIA,3.7,Clinical Research |  +64 other locations,30600.0,20.0,10k-50k,Clinical Research,+64 other locations,bangalore
Nagarjuna Construction Company,4.0,Engineering & Construction |  +295 other locations,12000.0,11.0,1998 (28 yrs old),Engineering & Construction,+295 other locations,bangalore
NTT Data,3.8,IT Services & Consulting |  +81 other locations,35700.0,181.0,1988 (38 yrs old),IT Services & Consulting,+81 other locations,bangalore
SBI Life Insurance Company,3.7,Insurance |  +655 other locations,11700.0,6.0,2001 (25 yrs old),Insurance,+655 other locations,bangalore
CBRE,4.1,Real Estate |  +91 other locations,18700.0,19.0,1906 (120 yrs old),Real Estate,+91 other locations,bangalore
TVS Motor,3.9,Automobile |  +349 other locations,15800.0,64.0,1979 (47 yrs old),Automobile,+349 other locations,bangalore
Schneider Electric,4.2,Industrial Automation |  +119 other locations,24400.0,24.0,1999 (27 yrs old),Industrial Automation,+119 other locations,bangalore
Persistent Systems,3.6,IT Services & Consulting |  +41 other locations,44400.0,235.0,,IT Services & Consulting,+41 other locations,bangalore
State Bank of India,3.8,Banking |  +618 other locations,11600.0,10.0,1806 (220 yrs old),Banking,+618 other locations,bangalore
vivo,4.1,Consumer Electronics & Appliances |  +414 other locations,12900.0,11.0,2009 (17 yrs old),Consumer Electronics & Appliances,+414 other locations,bangalore
